(64, 4, 0)
(62, 8, 0)
(64, 4, 0)
(71, 4, 0)
(72, 4, 0)
(72, 4, 0)
(71, 4, 0)
(71, 4, 0)
(69, 12, 0)
(72, 4, 0)
(71, 4, 0)
(67, 4, 0)
(74, 6, 0)
(72, 4, 0)
(71, 4, 0)
(69, 4, 0)
(69, 4, 0)
(69, 4, 0)
(69, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(69, 4, 0)
(67, 4, 0)
(67, 4, 0)
(69, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(65, 4, 0)
(64, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67, 4, 0)
(67.0, 2.0, 0.0)
(67.0, 2.0, 0.0)
(67.0, 2.0, 0.0)
(67.0, 2.0, 0.0)
(67.0, 2.0, 0.0)
(65.0, 2.0, 0.0)
(65.0, 2.0, 0.0)
(67.0, 8.0, 0.0)
(74, 4, 0)
(74, 4, 0)
(74, 4, 0)
(74, 4, 0)
