(72.0, 2.0, 1.0)
(71.0, 4.0, 1.0)
(69.0, 4.0, 1.0)
(67.0, 8.0, 1.0)
(64.0, 4.0, 1.0)
(66.0, 4.0, 1.0)
(67.0, 4.0, 1.0)
(64.0, 4.0, 1.0)
(62.0, 4.0, 1.0)
(61.0, 4.0, 1.0)
(74, 4, 1)
(67, 4, 1)
(67, 4, 1)
(71, 4, 1)
(71, 4, 1)
(71, 4, 1)
(71, 4, 1)
(69.0, 4.0, 1.0)
(73.0, 4.0, 1.0)
(72.0, 8.0, 1.0)
(69.0, 4.0, 1.0)
(69.0, 4.0, 1.0)
(69.0, 4.0, 1.0)
(69.0, 4.0, 1.0)
(67, 4, 1)
(69.0, 4.0, 1.0)
(67, 4, 1)
(67, 4, 1)
(67, 4, 1)
(67, 4, 1)
(66.0, 8.0, 1.0)
(67, 4, 1)
(66, 4, 1)
(66, 4, 1)
(66, 4, 1)
(66, 4, 1)
(63.0, 8.0, 1.0)
(63.0, 8.0, 1.0)
(72, 4, 1)
(67, 4, 1)
(67, 4, 1)
(69, 4, -2)
(71, 4, 1)
(71, 4, 1)
(71, 4, 1)
(71, 4, 1)
(69, 8, 1)
(71, 4, 1)
(69.0, 4.0, 1.0)
(69.0, 4.0, 1.0)
